run_id,local_order_id,exchange_order_id,exec_id,symbol,symbol_id,order_role,position_id,side,hold_side,trade_scope,exec_price,exec_quantity,exec_value,exec_time_exchange_ns,fast_fill_message_exchange_ns,fast_fill_updated_exchange_ns,fast_fill_local_receive_ns,fast_fill_local_receive_monotonic_ns,place_creation_exchange_ns,ack_local_receive_ns,order_feedback_local_receive_ns,creation_to_exec_ns,fast_fill_after_ack_ns,fast_fill_after_order_feedback_ns,authoritative_filled_quantity,fast_fill_order_quantity,rest_present,fee_coin,actual_fee_quote,exec_pnl,source,warnings
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567634,1463477487113220145,1463477487121711104,MRVLUSDT,498,entry,1,sell,short,taker,207.77,0.04,8.3108,1784646143703000000,1784646143704000000,1784646143703000000,1784646143706511991,11845197846977672,1784646143701000000,1784646143705370850,1784646143706018006,2000000,1141141,493985,0.04,0.04,true,USDT,0.0005402,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567636,1463477487390044186,1463477487398535168,MRVLUSDT,498,exit,1,buy,long,taker,207.78,0.04,8.3112,1784646143769000000,1784646143771000000,1784646143769000000,1784646143773500362,11845197913966042,1784646143767000000,1784646143771408725,1784646143771993702,2000000,2091637,1506660,0.04,0.04,true,USDT,0.00054022,-0.0004,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567746,1463518902656577536,1463518902660907008,BTCUSDT,93,entry,1,sell,short,taker,66206.6,0.0001,6.6206,1784656017937000000,1784656017939000000,1784656017937000000,1784656017940762203,11855072081227884,1784656017936000000,1784656017939576906,1784656017939702088,1000000,1185297,1060115,0.0001,0.0001,true,USDT,0.00099309,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567747,1463518903151505408,1463518903155834880,BTCUSDT,93,exit,1,buy,long,taker,66194.8,0.0001,6.6194,1784656018055000000,1784656018056000000,1784656018055000000,1784656018058640094,11855072199105773,1784656018054000000,1784656018057515978,1784656018057751855,1000000,1124116,888239,0.0001,0.0001,true,USDT,0.00099292,0.00118,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567758,1463522230027300864,1463522230031605760,BTWUSDT,95,entry,10,sell,short,taker,0.075678,58,4.3893,1784656811244000000,1784656811246000000,1784656811244000000,1784656811247919800,11855865388385480,1784656811243000000,1784656811246570022,1784656811246787189,1000000,1349778,1132611,58,58,true,USDT,0.00087786,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567759,1463522240722776091,1463522240731275264,BTWUSDT,95,exit,10,buy,long,taker,0.075403,58,4.3733,1784656813795000000,1784656813797000000,1784656813795000000,1784656813799117100,11855867939582780,1784656813793000000,1784656813797405372,1784656813797947898,2000000,1711728,1169202,58,58,true,USDT,0.00087467,0.01595,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567804,1463549866791284755,1463549866799783938,DRAMUSDT,495,entry,1,buy,long,taker,58.84,0.16,9.4144,1784663400363000000,1784663400363000000,1784663400363000000,1784663400365532584,11862454505998264,1784663400361000000,1784663400364976271,1784663400365248545,2000000,556313,284039,0.16,0.16,true,USDT,0.00061193,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567805,1463549866854199309,1463549866858504204,DRAMUSDT,495,exit,1,sell,short,taker,58.83,0.16,9.4128,1784663400377000000,1784663400379000000,1784663400377000000,1784663400380846924,11862454521312604,1784663400376000000,1784663400380613318,1784663400380190362,1000000,233606,656562,0.16,0.16,true,USDT,0.00061183,-0.0016,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567806,1463549867739197445,1463549867747696646,SNDKUSDT,503,entry,1,buy,long,taker,1570.03,0.006,9.4201,1784663400589000000,1784663400589000000,1784663400589000000,1784663400591385410,11862454731851090,1784663400587000000,1784663400590809123,1784663400591249672,2000000,576287,135738,0.006,0.006,true,USDT,0.00061231,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567807,1463549867764363276,1463549867772862466,SNDKUSDT,503,exit,1,sell,short,taker,1569.66,0.002,3.1393,1784663400595000000,1784663400596000000,1784663400595000000,1784663400598209117,11862454738674807,1784663400593000000,1784663400597034035,1784663400597462866,2000000,1175082,746251,0.006,0.006,true,USDT,0.00020405,-0.00074,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567807,1463549867764363276,1463549867772862468,SNDKUSDT,503,exit,1,sell,short,taker,1569.66,0.004,6.2786,1784663400595000000,1784663400596000000,1784663400595000000,1784663400598267150,11862454738732829,1784663400593000000,1784663400597034035,1784663400597462866,2000000,1233115,804284,0.006,0.006,true,USDT,0.00040811,-0.00148,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567828,1463568735564083208,1463568735572582400,SNDKUSDT,503,entry,4,buy,long,taker,1630.22,0.004,6.5208,1784667899029000000,1784667899031000000,1784667899029000000,1784667899032850560,11866953173316240,1784667899027000000,1784667899031394934,1784667899031774010,2000000,1455626,1076550,0.006,0.006,true,USDT,0.00042385,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567828,1463568735564083208,1463568735572582402,SNDKUSDT,503,entry,4,buy,long,taker,1630.25,0.002,3.2605,1784667899029000000,1784667899031000000,1784667899029000000,1784667899032858722,11866953173324401,1784667899027000000,1784667899031394934,1784667899031774010,2000000,1463788,1084712,0.006,0.006,true,USDT,0.00021193,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567830,1463568763980492802,1463568763984797696,SNDKUSDT,503,exit,4,sell,short,taker,1630.64,0.006,9.7838,1784667905803000000,1784667905804000000,1784667905803000000,1784667905806251677,11866959946717357,1784667905802000000,1784667905805618714,1784667905805829673,1000000,632963,422004,0.006,0.006,true,USDT,0.00063594,0.00246,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567841,1463575435268468737,1463575435276967936,SNDKUSDT,503,entry,6,sell,short,taker,1636.4,0.006,9.8184,1784669496363000000,1784669496363000000,1784669496363000000,1784669496365363020,11868550505828700,1784669496361000000,1784669496364815819,1784669496365126768,2000000,547201,236252,0.006,0.006,true,USDT,0.00063819,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567842,1463575485537202176,1463575485541507072,SNDKUSDT,503,exit,6,buy,long,taker,1635.16,0.006,9.8109,1784669508347000000,1784669508348000000,1784669508347000000,1784669508350194622,11868562490660302,1784669508346000000,1784669508349408350,1784669508349814822,1000000,786272,379800,0.006,0.006,true,USDT,0.00063771,0.00744,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567843,1463575750038401034,1463575750046892032,RAVEUSDT,347,entry,5,buy,long,taker,0.28637,28,8.0183,1784669571410000000,1784669571412000000,1784669571410000000,1784669571413871410,11868625554337090,1784669571408000000,1784669571412109840,1784669571412716318,2000000,1761570,1155092,34,34,true,USDT,0.00160367,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567843,1463575750038401034,1463575750046892034,RAVEUSDT,347,entry,5,buy,long,taker,0.2864,6,1.7184,1784669571410000000,1784669571412000000,1784669571410000000,1784669571413875971,11868625554341652,1784669571408000000,1784669571412109840,1784669571412716318,2000000,1766131,1159653,34,34,true,USDT,0.00034368,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567844,1463575750252310528,1463575750256607232,RAVEUSDT,347,exit,5,sell,short,taker,0.28712,34,9.762,1784669571460000000,1784669571461000000,1784669571460000000,1784669571463296327,11868625603762006,1784669571459000000,1784669571462632844,1784669571463108844,1000000,663483,187483,34,34,true,USDT,0.00195241,0.02531999,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567881,1463607317204971522,1463607317213470720,BSBUSDT,91,entry,3,buy,long,taker,0.13629,47,6.4056,1784677097609000000,1784677097609000000,1784677097609000000,1784677097611371001,11876151751836680,1784677097607000000,1784677097610947170,1784677097611396608,2000000,423831,-25607,47,47,true,USDT,0.00128112,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567883,1463607317255303172,1463607317259608064,BSBUSDT,91,exit,3,sell,short,taker,0.1362,47,6.4014,1784677097620000000,1784677097622000000,1784677097620000000,1784677097624199976,11876151764665656,1784677097619000000,1784677097622650699,1784677097622934612,1000000,1549277,1265364,47,47,true,USDT,0.00128028,-0.00423,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567902,1463615072548565034,1463615072557064192,SKHYNIXUSDT,501,entry,4,sell,short,taker,1340.77,0.01,13.4077,1784678946627000000,1784678946628000000,1784678946627000000,1784678946629982154,11878000770447834,1784678946625000000,1784678946629130342,1784678946629315565,2000000,851812,666589,0.01,0.01,true,USDT,0.0008715,0,fast_fill+rest,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567905,1463615072733114416,1463615072741613576,SKHYNIXUSDT,501,exit,4,buy,long,taker,1342.36,0.01,13.4236,1784678946671000000,1784678946672000000,1784678946671000000,1784678946674231771,11878000814697452,1784678946669000000,1784678946673107705,1784678946673558602,2000000,1124066,673169,0.01,0.01,true,USDT,0.00087253,-0.0159,fast_fill+rest,
